lad19cd,date,cases
E08000003,2020-06-17,21.0
E08000004,2020-06-17,9.0
E08000005,2020-06-17,9.0
E08000006,2020-06-17,5.0
E08000007,2020-06-17,0.0
E08000008,2020-06-17,6.0
E08000009,2020-06-17,4.0
E08000010,2020-06-17,1.0
E08000011,2020-06-17,1.0
E08000012,2020-06-17,7.0
E08000013,2020-06-17,0.0
E08000014,2020-06-17,8.0
E08000015,2020-06-17,13.0
E08000032,2020-06-17,43.0
E08000033,2020-06-17,1.0
E08000034,2020-06-17,17.0
E06000006,2020-06-18,4.0
E06000007,2020-06-18,6.0
E06000008,2020-06-18,12.0
E06000009,2020-06-18,3.0
E06000049,2020-06-18,6.0
E06000050,2020-06-18,11.0
E07000027,2020-06-18,0.0
E07000029,2020-06-18,1.0
E07000031,2020-06-18,1.0
E07000037,2020-06-18,4.0
E07000117,2020-06-18,5.0
E07000118,2020-06-18,6.0
E07000119,2020-06-18,0.0
E07000120,2020-06-18,2.0
E07000121,2020-06-18,3.0
E07000122,2020-06-18,10.0
E07000123,2020-06-18,5.0
E07000124,2020-06-18,0.0
E07000125,2020-06-18,0.0
E07000126,2020-06-18,2.0
E07000127,2020-06-18,1.0
E07000128,2020-06-18,1.0
E07000163,2020-06-18,4.0
E07000165,2020-06-18,7.0
E07000166,2020-06-18,0.0
E08000001,2020-06-18,7.0
E08000002,2020-06-18,4.0
E08000003,2020-06-18,18.0
E08000004,2020-06-18,18.0
E08000005,2020-06-18,27.0
E08000006,2020-06-18,3.0
E08000007,2020-06-18,12.0
E08000008,2020-06-18,30.0
E08000009,2020-06-18,5.0
E08000010,2020-06-18,1.0
E08000011,2020-06-18,0.0
E08000012,2020-06-18,6.0
E08000013,2020-06-18,4.0
E08000014,2020-06-18,1.0
E08000015,2020-06-18,21.0
E08000032,2020-06-18,107.0
E08000033,2020-06-18,5.0
E08000034,2020-06-18,41.0
E06000006,2020-06-19,0.0
E06000007,2020-06-19,3.0
E06000008,2020-06-19,6.0
E06000009,2020-06-19,2.0
E06000049,2020-06-19,9.0
E06000050,2020-06-19,8.0
E07000027,2020-06-19,2.0
E07000029,2020-06-19,0.0
E07000031,2020-06-19,0.0
E07000037,2020-06-19,1.0
E07000117,2020-06-19,5.0
E07000118,2020-06-19,3.0
E07000119,2020-06-19,0.0
E07000120,2020-06-19,1.0
E07000121,2020-06-19,0.0
E07000122,2020-06-19,8.0
E07000123,2020-06-19,13.0
E07000124,2020-06-19,0.0
E07000125,2020-06-19,0.0
E07000126,2020-06-19,3.0
E07000127,2020-06-19,1.0
E07000128,2020-06-19,6.0
E07000163,2020-06-19,0.0
E07000165,2020-06-19,9.0
E07000166,2020-06-19,1.0
E08000001,2020-06-19,13.0
E08000002,2020-06-19,2.0
E08000003,2020-06-19,25.0
E08000004,2020-06-19,17.0
E08000005,2020-06-19,13.0
E08000006,2020-06-19,5.0
E08000007,2020-06-19,5.0
E08000008,2020-06-19,12.0
E08000009,2020-06-19,9.0
E08000010,2020-06-19,7.0
E08000011,2020-06-19,3.0
E08000012,2020-06-19,4.0
E08000013,2020-06-19,2.0
E08000014,2020-06-19,4.0
E08000015,2020-06-19,5.0
E08000032,2020-06-19,62.0
E08000033,2020-06-19,7.0
E08000034,2020-06-19,17.0
E06000006,2020-06-20,3.0
E06000007,2020-06-20,4.0
E06000008,2020-06-20,10.0
E06000009,2020-06-20,1.0
E06000049,2020-06-20,11.0
E06000050,2020-06-20,2.0
E07000027,2020-06-20,0.0
E07000029,2020-06-20,0.0
E07000031,2020-06-20,1.0
E07000037,2020-06-20,1.0
E07000117,2020-06-20,1.0
E07000118,2020-06-20,2.0
E07000119,2020-06-20,1.0
E07000120,2020-06-20,1.0
E07000121,2020-06-20,0.0
E07000122,2020-06-20,5.0
E07000123,2020-06-20,13.0
E07000124,2020-06-20,2.0
E07000125,2020-06-20,0.0
E07000126,2020-06-20,0.0
E07000127,2020-06-20,2.0
E07000128,2020-06-20,4.0
E07000163,2020-06-20,3.0
E07000165,2020-06-20,3.0
E07000166,2020-06-20,2.0
E08000001,2020-06-20,3.0
E08000002,2020-06-20,3.0
E08000003,2020-06-20,15.0
E08000004,2020-06-20,9.0
E08000005,2020-06-20,20.0
E08000006,2020-06-20,6.0
E08000007,2020-06-20,8.0
E08000008,2020-06-20,10.0
E08000009,2020-06-20,3.0
E08000010,2020-06-20,5.0
E08000011,2020-06-20,1.0
E08000012,2020-06-20,3.0
E08000013,2020-06-20,2.0
E08000014,2020-06-20,5.0
E08000015,2020-06-20,7.0
E08000032,2020-06-20,54.0
E08000033,2020-06-20,4.0
E08000034,2020-06-20,22.0
E06000006,2020-06-21,1.0
E06000007,2020-06-21,2.0
E06000008,2020-06-21,8.0
E06000009,2020-06-21,5.0
E06000049,2020-06-21,8.0
E06000050,2020-06-21,6.0
E07000027,2020-06-21,2.0
E07000029,2020-06-21,0.0
E07000031,2020-06-21,1.0
E07000037,2020-06-21,1.0
E07000117,2020-06-21,2.0
E07000118,2020-06-21,1.0
E07000119,2020-06-21,0.0
E07000120,2020-06-21,1.0
E07000121,2020-06-21,3.0
E07000122,2020-06-21,6.0
E07000123,2020-06-21,5.0
E07000124,2020-06-21,2.0
E07000125,2020-06-21,0.0
E07000126,2020-06-21,1.0
E07000127,2020-06-21,1.0
E07000128,2020-06-21,2.0
E07000163,2020-06-21,0.0
E07000165,2020-06-21,1.0
E07000166,2020-06-21,0.0
E08000001,2020-06-21,5.0
E08000002,2020-06-21,2.0
E08000003,2020-06-21,17.0
E08000004,2020-06-21,21.0
E08000005,2020-06-21,28.0
E08000006,2020-06-21,4.0
E08000007,2020-06-21,7.0
E08000008,2020-06-21,8.0
E08000009,2020-06-21,1.0
E08000010,2020-06-21,1.0
E08000011,2020-06-21,1.0
E08000012,2020-06-21,7.0
E08000013,2020-06-21,2.0
E08000014,2020-06-21,3.0
E08000015,2020-06-21,4.0
E08000032,2020-06-21,56.0
E08000033,2020-06-21,1.0
E08000034,2020-06-21,18.0
E06000006,2020-06-22,0.0
E06000007,2020-06-22,4.0
E06000008,2020-06-22,5.0
E06000009,2020-06-22,1.0
E06000049,2020-06-22,6.0
E06000050,2020-06-22,3.0
E07000027,2020-06-22,0.0
E07000029,2020-06-22,1.0
E07000031,2020-06-22,1.0
E07000037,2020-06-22,2.0
E07000117,2020-06-22,2.0
E07000118,2020-06-22,0.0
E07000119,2020-06-22,1.0
E07000120,2020-06-22,0.0
E07000121,2020-06-22,0.0
E07000122,2020-06-22,8.0
E07000123,2020-06-22,6.0
E07000124,2020-06-22,2.0
E07000125,2020-06-22,1.0
E07000126,2020-06-22,3.0
E07000127,2020-06-22,0.0
E07000128,2020-06-22,0.0
E07000163,2020-06-22,0.0
E07000165,2020-06-22,8.0
E07000166,2020-06-22,1.0
E08000001,2020-06-22,12.0
E08000002,2020-06-22,2.0
E08000003,2020-06-22,11.0
E08000004,2020-06-22,13.0
E08000005,2020-06-22,18.0
E08000006,2020-06-22,4.0
E08000007,2020-06-22,4.0
E08000008,2020-06-22,7.0
E08000009,2020-06-22,3.0
E08000010,2020-06-22,1.0
E08000011,2020-06-22,0.0
E08000012,2020-06-22,3.0
E08000013,2020-06-22,2.0
E08000014,2020-06-22,2.0
E08000015,2020-06-22,4.0
E08000032,2020-06-22,41.0
E08000033,2020-06-22,3.0
E08000034,2020-06-22,10.0
E06000006,2020-06-23,3.0
E06000007,2020-06-23,4.0
E06000008,2020-06-23,10.0
E06000009,2020-06-23,2.0
E06000049,2020-06-23,10.0
E06000050,2020-06-23,3.0
E07000027,2020-06-23,0.0
E07000029,2020-06-23,0.0
E07000031,2020-06-23,4.0
E07000037,2020-06-23,0.0
E07000117,2020-06-23,3.0
E07000118,2020-06-23,1.0
E07000119,2020-06-23,1.0
E07000120,2020-06-23,0.0
E07000121,2020-06-23,1.0
E07000122,2020-06-23,6.0
E07000123,2020-06-23,4.0
E07000124,2020-06-23,1.0
E07000125,2020-06-23,1.0
E07000126,2020-06-23,1.0
E07000127,2020-06-23,2.0
E07000128,2020-06-23,2.0
E07000163,2020-06-23,0.0
E07000165,2020-06-23,7.0
E07000166,2020-06-23,0.0
E08000001,2020-06-23,15.0
E08000002,2020-06-23,3.0
E08000003,2020-06-23,18.0
E08000004,2020-06-23,12.0
E08000005,2020-06-23,2.0
E08000006,2020-06-23,3.0
E08000007,2020-06-23,8.0
E08000008,2020-06-23,3.0
E08000009,2020-06-23,1.0
E08000010,2020-06-23,1.0
E08000011,2020-06-23,6.0
E08000012,2020-06-23,11.0
E08000013,2020-06-23,3.0
E08000014,2020-06-23,7.0
E08000015,2020-06-23,5.0
E08000032,2020-06-23,43.0
E08000033,2020-06-23,3.0
E08000034,2020-06-23,21.0
E06000006,2020-06-24,3.0
E06000007,2020-06-24,2.0
E06000008,2020-06-24,8.0
E06000009,2020-06-24,1.0
E06000049,2020-06-24,5.0
E06000050,2020-06-24,3.0
E07000027,2020-06-24,1.0
E07000029,2020-06-24,0.0
E07000031,2020-06-24,1.0
E07000037,2020-06-24,4.0
E07000117,2020-06-24,1.0
E07000118,2020-06-24,1.0
E07000119,2020-06-24,0.0
E07000120,2020-06-24,0.0
E07000121,2020-06-24,2.0
E07000122,2020-06-24,2.0
E07000123,2020-06-24,4.0
E07000124,2020-06-24,1.0
E07000125,2020-06-24,0.0
E07000126,2020-06-24,1.0
E07000127,2020-06-24,3.0
E07000128,2020-06-24,1.0
E07000163,2020-06-24,1.0
E07000165,2020-06-24,7.0
E07000166,2020-06-24,1.0
E08000001,2020-06-24,6.0
E08000002,2020-06-24,4.0
E08000003,2020-06-24,16.0
E08000004,2020-06-24,10.0
E08000005,2020-06-24,8.0
E08000006,2020-06-24,2.0
E08000007,2020-06-24,4.0
E08000008,2020-06-24,11.0
E08000009,2020-06-24,1.0
E08000010,2020-06-24,1.0
E08000011,2020-06-24,6.0
E08000012,2020-06-24,3.0
E08000013,2020-06-24,0.0
E08000014,2020-06-24,3.0
E08000015,2020-06-24,5.0
E08000032,2020-06-24,42.0
E08000033,2020-06-24,9.0
E08000034,2020-06-24,19.0
E06000006,2020-06-25,1.0
E06000007,2020-06-25,1.0
E06000008,2020-06-25,6.0
E06000009,2020-06-25,6.0
E06000049,2020-06-25,10.0
E06000050,2020-06-25,11.0
E07000027,2020-06-25,0.0
E07000029,2020-06-25,0.0
E07000031,2020-06-25,0.0
E07000037,2020-06-25,2.0
E07000117,2020-06-25,2.0
E07000118,2020-06-25,2.0
E07000119,2020-06-25,0.0
E07000120,2020-06-25,0.0
E07000121,2020-06-25,0.0
E07000122,2020-06-25,1.0
E07000123,2020-06-25,3.0
E07000124,2020-06-25,0.0
E07000125,2020-06-25,1.0
E07000126,2020-06-25,1.0
E07000127,2020-06-25,2.0
E07000128,2020-06-25,1.0
E07000163,2020-06-25,1.0
E07000165,2020-06-25,1.0
E07000166,2020-06-25,1.0
E08000001,2020-06-25,9.0
E08000002,2020-06-25,2.0
E08000003,2020-06-25,16.0
E08000004,2020-06-25,17.0
E08000005,2020-06-25,11.0
E08000006,2020-06-25,4.0
E08000007,2020-06-25,2.0
E08000008,2020-06-25,7.0
E08000009,2020-06-25,1.0
E08000010,2020-06-25,2.0
E08000011,2020-06-25,3.0
E08000012,2020-06-25,4.0
E08000013,2020-06-25,1.0
E08000014,2020-06-25,0.0
E08000015,2020-06-25,8.0
E08000032,2020-06-25,43.0
E08000033,2020-06-25,4.0
E08000034,2020-06-25,12.0
E06000006,2020-06-26,0.0
E06000007,2020-06-26,2.0
E06000008,2020-06-26,3.0
E06000009,2020-06-26,4.0
E06000049,2020-06-26,8.0
E06000050,2020-06-26,4.0
E07000027,2020-06-26,0.0
E07000029,2020-06-26,0.0
E07000031,2020-06-26,0.0
E07000037,2020-06-26,1.0
E07000117,2020-06-26,4.0
E07000118,2020-06-26,0.0
E07000119,2020-06-26,0.0
E07000120,2020-06-26,0.0
E07000121,2020-06-26,1.0
E07000122,2020-06-26,1.0
E07000123,2020-06-26,2.0
E07000124,2020-06-26,1.0
E07000125,2020-06-26,0.0
E07000126,2020-06-26,2.0
E07000127,2020-06-26,4.0
E07000128,2020-06-26,2.0
E07000163,2020-06-26,0.0
E07000165,2020-06-26,4.0
E07000166,2020-06-26,1.0
E08000001,2020-06-26,17.0
E08000002,2020-06-26,1.0
E08000003,2020-06-26,14.0
E08000004,2020-06-26,9.0
E08000005,2020-06-26,14.0
E08000006,2020-06-26,5.0
E08000007,2020-06-26,0.0
E08000008,2020-06-26,4.0
E08000009,2020-06-26,1.0
E08000010,2020-06-26,3.0
E08000011,2020-06-26,2.0
E08000012,2020-06-26,4.0
E08000013,2020-06-26,3.0
E08000014,2020-06-26,2.0
E08000015,2020-06-26,10.0
E08000032,2020-06-26,38.0
E08000033,2020-06-26,2.0
E08000034,2020-06-26,15.0
E06000006,2020-06-27,1.0
E06000007,2020-06-27,2.0
E06000008,2020-06-27,1.0
E06000009,2020-06-27,5.0
E06000049,2020-06-27,9.0
E06000050,2020-06-27,8.0
E07000027,2020-06-27,0.0
E07000029,2020-06-27,0.0
E07000031,2020-06-27,0.0
E07000037,2020-06-27,0.0
E07000117,2020-06-27,1.0
E07000118,2020-06-27,0.0
E07000119,2020-06-27,0.0
E07000120,2020-06-27,0.0
E07000121,2020-06-27,1.0
E07000122,2020-06-27,1.0
E07000123,2020-06-27,6.0
E07000124,2020-06-27,1.0
E07000125,2020-06-27,0.0
E07000126,2020-06-27,0.0
E07000127,2020-06-27,3.0
E07000128,2020-06-27,0.0
E07000163,2020-06-27,1.0
E07000165,2020-06-27,3.0
E07000166,2020-06-27,1.0
E08000001,2020-06-27,6.0
E08000002,2020-06-27,2.0
E08000003,2020-06-27,13.0
E08000004,2020-06-27,7.0
E08000005,2020-06-27,13.0
E08000006,2020-06-27,0.0
E08000007,2020-06-27,3.0
E08000008,2020-06-27,8.0
E08000009,2020-06-27,0.0
E08000010,2020-06-27,4.0
E08000011,2020-06-27,7.0
E08000012,2020-06-27,9.0
E08000013,2020-06-27,3.0
E08000014,2020-06-27,4.0
E08000015,2020-06-27,1.0
E08000032,2020-06-27,50.0
E08000033,2020-06-27,2.0
E08000034,2020-06-27,28.0
E06000006,2020-06-28,1.0
E06000007,2020-06-28,1.0
E06000008,2020-06-28,2.0
E06000009,2020-06-28,1.0
E06000049,2020-06-28,7.0
E06000050,2020-06-28,5.0
E07000027,2020-06-28,1.0
E07000029,2020-06-28,1.0
E07000031,2020-06-28,1.0
E07000037,2020-06-28,0.0
E07000117,2020-06-28,2.0
E07000118,2020-06-28,2.0
E07000119,2020-06-28,1.0
E07000120,2020-06-28,0.0
E07000121,2020-06-28,0.0
E07000122,2020-06-28,3.0
E07000123,2020-06-28,3.0
E07000124,2020-06-28,0.0
E07000125,2020-06-28,0.0
E07000126,2020-06-28,3.0
E07000127,2020-06-28,1.0
E07000128,2020-06-28,0.0
E07000163,2020-06-28,0.0
E07000165,2020-06-28,0.0
E07000166,2020-06-28,0.0
E08000001,2020-06-28,8.0
E08000002,2020-06-28,1.0
E08000003,2020-06-28,12.0
E08000004,2020-06-28,10.0
E08000005,2020-06-28,15.0
E08000006,2020-06-28,4.0
E08000007,2020-06-28,2.0
E08000008,2020-06-28,3.0
E08000009,2020-06-28,3.0
E08000010,2020-06-28,2.0
E08000011,2020-06-28,1.0
E08000012,2020-06-28,4.0
E08000013,2020-06-28,3.0
E08000014,2020-06-28,0.0
E08000015,2020-06-28,1.0
E08000032,2020-06-28,26.0
E08000033,2020-06-28,10.0
E08000034,2020-06-28,11.0
E06000006,2020-06-29,0.0
E06000007,2020-06-29,1.0
E06000008,2020-06-29,7.0
E06000009,2020-06-29,1.0
E06000049,2020-06-29,3.0
E06000050,2020-06-29,5.0
E07000027,2020-06-29,0.0
E07000029,2020-06-29,0.0
E07000031,2020-06-29,0.0
E07000037,2020-06-29,0.0
E07000117,2020-06-29,1.0
E07000118,2020-06-29,1.0
E07000119,2020-06-29,3.0
E07000120,2020-06-29,0.0
E07000121,2020-06-29,0.0
E07000122,2020-06-29,2.0
E07000123,2020-06-29,4.0
E07000124,2020-06-29,0.0
E07000125,2020-06-29,0.0
E07000126,2020-06-29,2.0
E07000127,2020-06-29,0.0
E07000128,2020-06-29,1.0
E07000163,2020-06-29,0.0
E07000165,2020-06-29,0.0
E07000166,2020-06-29,0.0
E08000001,2020-06-29,9.0
E08000002,2020-06-29,3.0
E08000003,2020-06-29,15.0
E08000004,2020-06-29,5.0
E08000005,2020-06-29,12.0
E08000006,2020-06-29,2.0
E08000007,2020-06-29,5.0
E08000008,2020-06-29,9.0
E08000009,2020-06-29,0.0
E08000010,2020-06-29,1.0
E08000011,2020-06-29,9.0
E08000012,2020-06-29,12.0
E08000013,2020-06-29,0.0
E08000014,2020-06-29,2.0
E08000015,2020-06-29,3.0
E08000032,2020-06-29,21.0
E08000033,2020-06-29,2.0
E08000034,2020-06-29,21.0
E06000006,2020-06-30,1.0
E06000007,2020-06-30,1.0
E06000008,2020-06-30,2.0
E06000009,2020-06-30,2.0
E06000049,2020-06-30,3.0
E06000050,2020-06-30,10.0
E07000027,2020-06-30,0.0
E07000029,2020-06-30,0.0
E07000031,2020-06-30,0.0
E07000037,2020-06-30,0.0
E07000117,2020-06-30,2.0
E07000118,2020-06-30,0.0
E07000119,2020-06-30,0.0
E07000120,2020-06-30,0.0
E07000121,2020-06-30,0.0
E07000122,2020-06-30,1.0
E07000123,2020-06-30,0.0
E07000124,2020-06-30,0.0
E07000125,2020-06-30,0.0
E07000126,2020-06-30,0.0
E07000127,2020-06-30,0.0
E07000128,2020-06-30,1.0
E07000163,2020-06-30,1.0
E07000165,2020-06-30,1.0
E07000166,2020-06-30,1.0
E08000001,2020-06-30,9.0
E08000002,2020-06-30,2.0
E08000003,2020-06-30,7.0
E08000004,2020-06-30,6.0
E08000005,2020-06-30,10.0
E08000006,2020-06-30,4.0
E08000007,2020-06-30,6.0
E08000008,2020-06-30,2.0
E08000009,2020-06-30,4.0
E08000010,2020-06-30,1.0
E08000011,2020-06-30,3.0
E08000012,2020-06-30,5.0
E08000013,2020-06-30,1.0
E08000014,2020-06-30,2.0
E08000015,2020-06-30,2.0
E08000032,2020-06-30,29.0
E08000033,2020-06-30,7.0
E08000034,2020-06-30,19.0
E06000006,2020-07-01,3.0
E06000007,2020-07-01,0.0
E06000008,2020-07-01,6.0
E06000009,2020-07-01,0.0
E06000049,2020-07-01,4.0
E06000050,2020-07-01,6.0
E07000027,2020-07-01,0.0
E07000029,2020-07-01,0.0
E07000031,2020-07-01,0.0
E07000037,2020-07-01,0.0
E07000117,2020-07-01,2.0
E07000118,2020-07-01,0.0
E07000119,2020-07-01,2.0
E07000120,2020-07-01,1.0
E07000121,2020-07-01,0.0
E07000122,2020-07-01,5.0
E07000123,2020-07-01,4.0
E07000124,2020-07-01,1.0
E07000125,2020-07-01,0.0
E07000126,2020-07-01,2.0
E07000127,2020-07-01,0.0
E07000128,2020-07-01,0.0
E07000163,2020-07-01,0.0
E07000165,2020-07-01,3.0
E07000166,2020-07-01,0.0
E08000001,2020-07-01,8.0
E08000002,2020-07-01,1.0
E08000003,2020-07-01,7.0
E08000004,2020-07-01,14.0
E08000005,2020-07-01,16.0
E08000006,2020-07-01,3.0
E08000007,2020-07-01,3.0
E08000008,2020-07-01,5.0
E08000009,2020-07-01,5.0
E08000010,2020-07-01,0.0
E08000011,2020-07-01,1.0
E08000012,2020-07-01,9.0
E08000013,2020-07-01,1.0
E08000014,2020-07-01,1.0
E08000015,2020-07-01,1.0
E08000032,2020-07-01,28.0
E08000033,2020-07-01,8.0
E08000034,2020-07-01,29.0
E06000006,2020-07-02,3.0
E06000007,2020-07-02,4.0
E06000008,2020-07-02,8.0
E06000009,2020-07-02,0.0
E06000049,2020-07-02,3.0
E06000050,2020-07-02,4.0
E07000027,2020-07-02,0.0
E07000029,2020-07-02,0.0
E07000031,2020-07-02,0.0
E07000037,2020-07-02,0.0
E07000117,2020-07-02,1.0
E07000118,2020-07-02,1.0
E07000119,2020-07-02,0.0
E07000120,2020-07-02,0.0
E07000121,2020-07-02,0.0
E07000122,2020-07-02,1.0
E07000123,2020-07-02,2.0
E07000124,2020-07-02,2.0
E07000125,2020-07-02,0.0
E07000126,2020-07-02,0.0
E07000127,2020-07-02,0.0
E07000128,2020-07-02,0.0
E07000163,2020-07-02,0.0
E07000165,2020-07-02,2.0
E07000166,2020-07-02,1.0
E08000001,2020-07-02,8.0
E08000002,2020-07-02,5.0
E08000003,2020-07-02,8.0
E08000004,2020-07-02,10.0
E08000005,2020-07-02,3.0
E08000006,2020-07-02,3.0
E08000007,2020-07-02,3.0
E08000008,2020-07-02,5.0
E08000009,2020-07-02,2.0
E08000010,2020-07-02,0.0
E08000011,2020-07-02,6.0
E08000012,2020-07-02,6.0
E08000013,2020-07-02,1.0
E08000014,2020-07-02,4.0
E08000015,2020-07-02,1.0
E08000032,2020-07-02,31.0
E08000033,2020-07-02,2.0
E08000034,2020-07-02,21.0
E06000006,2020-07-03,0.0
E06000007,2020-07-03,2.0
E06000008,2020-07-03,12.0
E06000009,2020-07-03,5.0
E06000049,2020-07-03,0.0
E06000050,2020-07-03,3.0
E07000027,2020-07-03,0.0
E07000029,2020-07-03,1.0
E07000031,2020-07-03,2.0
E07000037,2020-07-03,1.0
E07000117,2020-07-03,0.0
E07000118,2020-07-03,0.0
E07000119,2020-07-03,3.0
E07000120,2020-07-03,1.0
E07000121,2020-07-03,1.0
E07000122,2020-07-03,2.0
E07000123,2020-07-03,1.0
E07000124,2020-07-03,0.0
E07000125,2020-07-03,0.0
E07000126,2020-07-03,0.0
E07000127,2020-07-03,1.0
E07000128,2020-07-03,1.0
E07000163,2020-07-03,0.0
E07000165,2020-07-03,0.0
E07000166,2020-07-03,0.0
E08000001,2020-07-03,2.0
E08000002,2020-07-03,2.0
E08000003,2020-07-03,19.0
E08000004,2020-07-03,5.0
E08000005,2020-07-03,6.0
E08000006,2020-07-03,2.0
E08000007,2020-07-03,5.0
E08000008,2020-07-03,3.0
E08000009,2020-07-03,1.0
E08000010,2020-07-03,1.0
E08000011,2020-07-03,3.0
E08000012,2020-07-03,10.0
E08000013,2020-07-03,1.0
E08000014,2020-07-03,3.0
E08000015,2020-07-03,1.0
E08000032,2020-07-03,31.0
E08000033,2020-07-03,2.0
E08000034,2020-07-03,17.0
E06000006,2020-07-04,0.0
E06000007,2020-07-04,1.0
E06000008,2020-07-04,7.0
E06000009,2020-07-04,1.0
E06000049,2020-07-04,9.0
E06000050,2020-07-04,8.0
E07000027,2020-07-04,0.0
E07000029,2020-07-04,1.0
E07000031,2020-07-04,0.0
E07000037,2020-07-04,2.0
E07000117,2020-07-04,0.0
E07000118,2020-07-04,0.0
E07000119,2020-07-04,0.0
E07000120,2020-07-04,0.0
E07000121,2020-07-04,0.0
E07000122,2020-07-04,1.0
E07000123,2020-07-04,0.0
E07000124,2020-07-04,2.0
E07000125,2020-07-04,0.0
E07000126,2020-07-04,1.0
E07000127,2020-07-04,3.0
E07000128,2020-07-04,1.0
E07000163,2020-07-04,1.0
E07000165,2020-07-04,1.0
E07000166,2020-07-04,0.0
E08000001,2020-07-04,5.0
E08000002,2020-07-04,8.0
E08000003,2020-07-04,21.0
E08000004,2020-07-04,4.0
E08000005,2020-07-04,14.0
E08000006,2020-07-04,4.0
E08000007,2020-07-04,1.0
E08000008,2020-07-04,5.0
E08000009,2020-07-04,1.0
E08000010,2020-07-04,4.0
E08000011,2020-07-04,2.0
E08000012,2020-07-04,7.0
E08000013,2020-07-04,0.0
E08000014,2020-07-04,1.0
E08000015,2020-07-04,3.0
E08000032,2020-07-04,31.0
E08000033,2020-07-04,4.0
E08000034,2020-07-04,22.0
E06000006,2020-07-05,0.0
E06000007,2020-07-05,0.0
E06000008,2020-07-05,3.0
E06000009,2020-07-05,2.0
E06000049,2020-07-05,4.0
E06000050,2020-07-05,6.0
E07000027,2020-07-05,0.0
E07000029,2020-07-05,0.0
E07000031,2020-07-05,0.0
E07000037,2020-07-05,1.0
E07000117,2020-07-05,0.0
E07000118,2020-07-05,0.0
E07000119,2020-07-05,0.0
E07000120,2020-07-05,0.0
E07000121,2020-07-05,0.0
E07000122,2020-07-05,1.0
E07000123,2020-07-05,2.0
E07000124,2020-07-05,2.0
E07000125,2020-07-05,0.0
E07000126,2020-07-05,2.0
E07000127,2020-07-05,1.0
E07000128,2020-07-05,0.0
E07000163,2020-07-05,0.0
E07000165,2020-07-05,0.0
E07000166,2020-07-05,0.0
E08000001,2020-07-05,3.0
E08000002,2020-07-05,1.0
E08000003,2020-07-05,6.0
E08000004,2020-07-05,7.0
E08000005,2020-07-05,20.0
E08000006,2020-07-05,2.0
E08000007,2020-07-05,2.0
E08000008,2020-07-05,4.0
E08000009,2020-07-05,1.0
E08000010,2020-07-05,2.0
E08000011,2020-07-05,1.0
E08000012,2020-07-05,7.0
E08000013,2020-07-05,1.0
E08000014,2020-07-05,2.0
E08000015,2020-07-05,0.0
E08000032,2020-07-05,20.0
E08000033,2020-07-05,5.0
E08000034,2020-07-05,20.0
E06000006,2020-07-06,0.0
E06000007,2020-07-06,1.0
E06000008,2020-07-06,9.0
E06000009,2020-07-06,1.0
E06000049,2020-07-06,1.0
E06000050,2020-07-06,1.0
E07000027,2020-07-06,0.0
E07000029,2020-07-06,2.0
E07000031,2020-07-06,0.0
E07000037,2020-07-06,0.0
E07000117,2020-07-06,1.0
E07000118,2020-07-06,0.0
E07000119,2020-07-06,1.0
