To,E06000006,E06000007,E06000008,E06000009,E06000049,E06000050,E07000027,E07000029,E07000031,E07000037,E07000117,E07000118,E07000119,E07000120,E07000121,E07000122,E07000123,E07000124,E07000125,E07000126,E07000127,E07000128,E07000163,E07000165,E07000166,E08000001,E08000002,E08000003,E08000004,E08000005,E08000006,E08000007,E08000008,E08000009,E08000010,E08000011,E08000012,E08000013,E08000014,E08000015,E08000032,E08000033,E08000034
E07000117,6.0,27.0,1331.0,24.0,16.0,15.0,1.0,2.0,9.0,21.0,17395.0,190.0,32.0,2149.0,47.0,5159.0,172.0,1173.0,1588.0,222.0,53.0,47.0,131.0,14.0,1.0,176.0,267.0,144.0,108.0,196.0,102.0,40.0,64.0,61.0,85.0,5.0,25.0,21.0,28.0,15.0,149.0,419.0,22.0
E07000118,25.0,149.0,739.0,176.0,55.0,64.0,1.0,2.0,43.0,11.0,103.0,17280.0,235.0,275.0,173.0,101.0,1374.0,249.0,103.0,4071.0,942.0,226.0,16.0,6.0,1.0,1468.0,184.0,218.0,98.0,103.0,209.0,82.0,48.0,118.0,2048.0,75.0,131.0,204.0,400.0,56.0,21.0,18.0,29.0
E07000119,29.0,71.0,367.0,7312.0,45.0,46.0,7.0,4.0,102.0,12.0,57.0,818.0,15100.0,123.0,536.0,73.0,3320.0,358.0,58.0,2112.0,282.0,3353.0,15.0,7.0,1.0,252.0,81.0,88.0,66.0,67.0,97.0,83.0,34.0,42.0,336.0,32.0,331.0,71.0,267.0,36.0,10.0,10.0,32.0
E07000120,8.0,32.0,3351.0,60.0,28.0,15.0,0.0,1.0,8.0,4.0,2151.0,338.0,72.0,13194.0,68.0,1226.0,307.0,1433.0,1330.0,381.0,56.0,90.0,50.0,5.0,1.0,232.0,271.0,95.0,76.0,170.0,52.0,48.0,42.0,54.0,150.0,9.0,38.0,25.0,43.0,11.0,46.0,81.0,37.0
E07000121,7.0,35.0,131.0,354.0,23.0,25.0,177.0,31.0,2007.0,3.0,38.0,213.0,343.0,65.0,39800.0,31.0,542.0,261.0,15.0,250.0,51.0,1452.0,516.0,15.0,11.0,81.0,47.0,113.0,24.0,79.0,49.0,33.0,13.0,40.0,118.0,13.0,53.0,21.0,44.0,19.0,26.0,12.0,10.0
E07000122,2.0,20.0,636.0,35.0,24.0,9.0,0.0,2.0,9.0,9.0,4692.0,113.0,19.0,851.0,29.0,18170.0,96.0,645.0,701.0,114.0,37.0,30.0,596.0,20.0,3.0,101.0,177.0,74.0,32.0,103.0,39.0,28.0,33.0,19.0,80.0,5.0,18.0,30.0,17.0,12.0,340.0,155.0,44.0
E07000123,74.0,199.0,2315.0,1897.0,108.0,141.0,17.0,7.0,227.0,30.0,468.0,4770.0,2904.0,726.0,1657.0,386.0,34082.0,2155.0,256.0,13492.0,1298.0,2404.0,80.0,13.0,1.0,1015.0,242.0,426.0,109.0,125.0,279.0,125.0,100.0,198.0,1222.0,77.0,266.0,227.0,886.0,69.0,82.0,87.0,118.0
E07000124,13.0,37.0,1942.0,256.0,37.0,29.0,4.0,4.0,31.0,7.0,1187.0,637.0,412.0,1923.0,275.0,1108.0,1891.0,9896.0,224.0,1298.0,127.0,451.0,196.0,5.0,2.0,273.0,94.0,124.0,147.0,139.0,81.0,66.0,54.0,56.0,281.0,10.0,37.0,44.0,86.0,12.0,55.0,41.0,13.0
E07000125,7.0,34.0,648.0,9.0,28.0,15.0,4.0,0.0,6.0,11.0,825.0,116.0,19.0,1337.0,17.0,399.0,57.0,208.0,10863.0,68.0,13.0,17.0,14.0,3.0,4.0,313.0,1281.0,130.0,161.0,892.0,93.0,67.0,98.0,53.0,68.0,0.0,12.0,13.0,21.0,12.0,56.0,176.0,35.0
E07000126,55.0,193.0,1278.0,504.0,95.0,87.0,15.0,4.0,66.0,13.0,278.0,6537.0,611.0,472.0,457.0,197.0,5186.0,564.0,145.0,17478.0,1177.0,534.0,17.0,9.0,2.0,658.0,155.0,214.0,86.0,81.0,175.0,93.0,76.0,125.0,1405.0,58.0,161.0,233.0,619.0,65.0,24.0,17.0,31.0
E07000127,192.0,396.0,110.0,68.0,101.0,180.0,3.0,3.0,20.0,6.0,25.0,1077.0,42.0,36.0,74.0,25.0,353.0,43.0,34.0,849.0,20637.0,64.0,4.0,6.0,0.0,287.0,78.0,164.0,59.0,43.0,146.0,70.0,39.0,113.0,4763.0,992.0,1461.0,1775.0,5220.0,285.0,13.0,20.0,17.0
E07000128,7.0,24.0,139.0,4902.0,11.0,16.0,6.0,5.0,49.0,1.0,32.0,274.0,1310.0,59.0,1040.0,19.0,1299.0,308.0,16.0,404.0,62.0,17703.0,14.0,1.0,1.0,71.0,34.0,51.0,14.0,28.0,23.0,11.0,13.0,15.0,108.0,11.0,37.0,26.0,49.0,12.0,14.0,7.0,4.0
E07000163,0.0,8.0,42.0,12.0,3.0,4.0,2.0,3.0,106.0,2.0,158.0,11.0,3.0,69.0,340.0,1713.0,23.0,198.0,40.0,23.0,12.0,17.0,11763.0,297.0,45.0,22.0,11.0,32.0,17.0,24.0,22.0,4.0,6.0,9.0,25.0,3.0,12.0,6.0,6.0,5.0,4279.0,135.0,71.0
E07000165,17.0,27.0,17.0,12.0,22.0,327.0,5.0,5.0,23.0,6.0,13.0,13.0,1.0,6.0,22.0,79.0,17.0,21.0,9.0,16.0,7.0,9.0,384.0,45408.0,593.0,23.0,12.0,37.0,8.0,19.0,16.0,20.0,28.0,21.0,43.0,11.0,27.0,14.0,29.0,143.0,1485.0,79.0,290.0
E07000166,17.0,19.0,27.0,18.0,35.0,48.0,22.0,11.0,27.0,17.0,15.0,18.0,10.0,17.0,38.0,16.0,19.0,5.0,8.0,14.0,9.0,7.0,55.0,399.0,13801.0,22.0,11.0,28.0,8.0,14.0,14.0,33.0,35.0,1.0,45.0,9.0,19.0,21.0,16.0,59.0,82.0,30.0,30.0
E08000001,70.0,525.0,1827.0,105.0,286.0,163.0,9.0,5.0,47.0,80.0,199.0,2453.0,118.0,298.0,110.0,120.0,506.0,160.0,515.0,633.0,280.0,146.0,21.0,11.0,5.0,62464.0,4786.0,1579.0,610.0,925.0,3627.0,565.0,455.0,897.0,9110.0,93.0,257.0,418.0,194.0,87.0,63.0,116.0,137.0
E08000002,56.0,228.0,554.0,35.0,241.0,71.0,4.0,4.0,25.0,87.0,243.0,248.0,28.0,313.0,56.0,172.0,94.0,120.0,2176.0,106.0,64.0,43.0,16.0,11.0,0.0,5080.0,32936.0,2490.0,1220.0,4868.0,2154.0,558.0,568.0,644.0,894.0,26.0,115.0,135.0,58.0,33.0,88.0,169.0,165.0
E08000003,852.0,4232.0,766.0,177.0,9445.0,2886.0,45.0,24.0,128.0,3314.0,365.0,1099.0,235.0,426.0,259.0,361.0,553.0,321.0,1511.0,566.0,629.0,248.0,64.0,89.0,13.0,7017.0,12130.0,108658.0,11712.0,9269.0,18919.0,25549.0,17483.0,24760.0,5415.0,473.0,1706.0,1416.0,797.0,891.0,658.0,940.0,1125.0
E08000004,36.0,204.0,157.0,31.0,342.0,138.0,1.0,1.0,7.0,328.0,100.0,122.0,22.0,113.0,38.0,86.0,54.0,36.0,605.0,47.0,57.0,24.0,11.0,4.0,2.0,806.0,1911.0,4525.0,45747.0,8003.0,993.0,1389.0,4872.0,746.0,509.0,29.0,120.0,111.0,44.0,53.0,98.0,455.0,831.0
E08000005,52.0,209.0,220.0,23.0,191.0,90.0,3.0,2.0,16.0,131.0,235.0,154.0,25.0,232.0,32.0,143.0,72.0,74.0,2587.0,87.0,46.0,25.0,13.0,16.0,3.0,1270.0,4095.0,2394.0,5869.0,40260.0,965.0,622.0,1025.0,540.0,506.0,35.0,101.0,123.0,48.0,49.0,144.0,1131.0,475.0
E08000006,358.0,2155.0,331.0,89.0,1273.0,696.0,16.0,11.0,55.0,445.0,136.0,559.0,72.0,181.0,104.0,139.0,243.0,97.0,573.0,268.0,278.0,95.0,15.0,25.0,12.0,6459.0,5689.0,10090.0,2178.0,2279.0,39355.0,3203.0,2576.0,6496.0,5845.0,286.0,724.0,767.0,420.0,328.0,127.0,219.0,235.0
E08000007,215.0,801.0,112.0,27.0,6808.0,701.0,6.0,10.0,23.0,3324.0,79.0,115.0,31.0,56.0,31.0,50.0,68.0,37.0,180.0,65.0,80.0,36.0,3.0,17.0,2.0,767.0,961.0,11713.0,1673.0,894.0,1640.0,55275.0,8518.0,3998.0,737.0,80.0,302.0,219.0,101.0,148.0,84.0,95.0,175.0
E08000008,57.0,226.0,65.0,13.0,611.0,166.0,3.0,2.0,13.0,2735.0,59.0,65.0,22.0,53.0,52.0,36.0,40.0,27.0,190.0,28.0,42.0,17.0,7.0,5.0,1.0,461.0,815.0,3729.0,4606.0,1041.0,751.0,4392.0,41324.0,985.0,298.0,38.0,101.0,78.0,47.0,44.0,56.0,135.0,317.0
E08000009,523.0,3226.0,265.0,65.0,3510.0,1670.0,6.0,7.0,38.0,575.0,130.0,435.0,63.0,136.0,72.0,95.0,194.0,91.0,449.0,231.0,249.0,84.0,12.0,28.0,6.0,3097.0,2652.0,17100.0,2005.0,1928.0,12461.0,5780.0,2996.0,41677.0,3532.0,264.0,738.0,768.0,350.0,408.0,172.0,199.0,249.0
E08000010,365.0,2000.0,254.0,82.0,323.0,340.0,6.0,2.0,45.0,36.0,81.0,1912.0,80.0,125.0,153.0,51.0,356.0,73.0,117.0,536.0,2483.0,87.0,12.0,6.0,2.0,4476.0,647.0,942.0,380.0,360.0,1658.0,328.0,291.0,676.0,68238.0,378.0,739.0,4073.0,772.0,206.0,69.0,41.0,100.0
E08000011,2043.0,1124.0,39.0,18.0,187.0,502.0,3.0,1.0,3.0,13.0,32.0,115.0,9.0,27.0,27.0,16.0,36.0,15.0,20.0,78.0,1149.0,20.0,3.0,3.0,1.0,153.0,60.0,177.0,66.0,70.0,145.0,80.0,46.0,135.0,967.0,18500.0,11549.0,5725.0,3886.0,1305.0,12.0,16.0,15.0
E08000012,4518.0,2628.0,69.0,113.0,604.0,3754.0,12.0,6.0,49.0,22.0,28.0,299.0,65.0,42.0,66.0,15.0,171.0,39.0,36.0,223.0,3042.0,57.0,1.0,9.0,2.0,297.0,206.0,666.0,115.0,113.0,381.0,294.0,119.0,493.0,1584.0,19655.0,118413.0,5053.0,24208.0,18094.0,60.0,39.0,60.0
E08000013,1500.0,2516.0,39.0,16.0,208.0,413.0,5.0,1.0,21.0,17.0,22.0,251.0,21.0,20.0,26.0,19.0,99.0,19.0,26.0,147.0,1177.0,30.0,1.0,5.0,0.0,397.0,133.0,330.0,176.0,108.0,347.0,148.0,95.0,253.0,5787.0,2593.0,2213.0,32661.0,1324.0,431.0,28.0,15.0,26.0
E08000014,474.0,406.0,43.0,29.0,92.0,449.0,2.0,6.0,17.0,10.0,11.0,360.0,57.0,14.0,41.0,14.0,186.0,18.0,19.0,402.0,5476.0,45.0,3.0,4.0,2.0,162.0,34.0,166.0,30.0,32.0,95.0,45.0,22.0,98.0,800.0,2966.0,11542.0,1411.0,55569.0,1918.0,64.0,10.0,20.0
E08000015,348.0,382.0,15.0,6.0,203.0,6135.0,1.0,0.0,8.0,13.0,3.0,32.0,9.0,8.0,15.0,8.0,30.0,4.0,9.0,24.0,174.0,6.0,2.0,2.0,2.0,42.0,27.0,132.0,25.0,22.0,71.0,55.0,35.0,105.0,173.0,1065.0,4195.0,259.0,1194.0,74137.0,6.0,8.0,20.0
E08000032,18.0,42.0,76.0,19.0,70.0,59.0,2.0,3.0,47.0,24.0,138.0,49.0,13.0,58.0,26.0,739.0,46.0,76.0,82.0,36.0,25.0,14.0,3963.0,1202.0,50.0,308.0,159.0,210.0,228.0,255.0,103.0,98.0,107.0,75.0,126.0,18.0,56.0,43.0,26.0,77.0,129611.0,8096.0,8897.0
E08000033,19.0,54.0,49.0,5.0,60.0,427.0,1.0,2.0,7.0,22.0,289.0,21.0,14.0,57.0,10.0,116.0,27.0,30.0,254.0,18.0,26.0,14.0,137.0,114.0,14.0,121.0,144.0,168.0,322.0,689.0,106.0,78.0,135.0,85.0,73.0,11.0,40.0,27.0,33.0,110.0,6164.0,52014.0,10196.0
E08000034,19.0,62.0,19.0,13.0,58.0,47.0,1.0,3.0,19.0,78.0,45.0,24.0,21.0,16.0,28.0,51.0,25.0,20.0,75.0,15.0,23.0,15.0,78.0,213.0,21.0,102.0,147.0,279.0,543.0,378.0,112.0,96.0,201.0,102.0,70.0,14.0,55.0,28.0,29.0,29.0,4949.0,7387.0,102258.0
