date,percent
11/01/2020,1.05
12/01/2020,1.07
13/01/2020,1.05
14/01/2020,1.05
15/01/2020,1.05
16/01/2020,1.06
17/01/2020,1.05
18/01/2020,1.06
19/01/2020,1.05
20/01/2020,1.06
21/01/2020,1.06
22/01/2020,1.07
23/01/2020,1.07
24/01/2020,1.07
25/01/2020,1.06
26/01/2020,1.06
27/01/2020,1.06
28/01/2020,1.06
29/01/2020,1.05
30/01/2020,1.03
31/01/2020,1.04
01/02/2020,1.05
02/02/2020,1.04
03/02/2020,1.02
04/02/2020,1.01
05/02/2020,1.02
06/02/2020,1.04
07/02/2020,1.03
08/02/2020,1.02
09/02/2020,1.01
10/02/2020,1.02
11/02/2020,1.02
12/02/2020,1.02
13/02/2020,1.01
14/02/2020,1.03
15/02/2020,1.01
16/02/2020,1.02
17/02/2020,1.02
18/02/2020,1.01
19/02/2020,1.02
20/02/2020,1.00
21/02/2020,0.98
22/02/2020,0.99
23/02/2020,1.00
24/02/2020,1.01
25/02/2020,1.01
26/02/2020,0.99
27/02/2020,0.98
28/02/2020,0.97
29/02/2020,0.96
01/03/2020,0.96
02/03/2020,0.94
03/03/2020,0.93
04/03/2020,0.93
05/03/2020,0.94
06/03/2020,0.95
07/03/2020,0.95
08/03/2020,0.94
09/03/2020,0.94
10/03/2020,0.91
11/03/2020,0.89
12/03/2020,0.85
13/03/2020,0.80
14/03/2020,0.77
15/03/2020,0.73
16/03/2020,0.64
17/03/2020,0.52
18/03/2020,0.42
19/03/2020,0.32
20/03/2020,0.24
21/03/2020,0.18
22/03/2020,0.14
23/03/2020,0.06
24/03/2020,0.02
25/03/2020,0.0
26/03/2020,0.0
27/03/2020,0.0
