,percent
2020-03-07,1.0141949023033037
2020-03-08,1.0163138381018992
2020-03-09,1.0154243371338507
2020-03-10,1.012667236918105
2020-03-11,1.0102245691633625
2020-03-12,1.0072472930149845
2020-03-13,1.0006052034095325
2020-03-14,0.9894735231045187
2020-03-15,0.9743146763253316
2020-03-16,0.9667143086495742
2020-03-17,0.9482593539057927
2020-03-18,0.9211688842569309
2020-03-19,0.8945880229363807
2020-03-20,0.8668549265559783
2020-03-21,0.834094197759868
2020-03-22,0.7944294269057416
2020-03-23,0.7485219130879249
2020-03-24,0.6881917786239129
2020-03-25,0.6272480573684523
2020-03-26,0.5638999936371897
2020-03-27,0.5017736835776103
2020-03-28,0.44053703375605185
2020-03-29,0.3788461079627759
2020-03-30,0.3341435334996338
2020-03-31,0.31711273833696974
2020-04-01,0.3093778772598053
2020-04-02,0.3050779396556957
2020-04-03,0.30357166376512984
2020-04-04,0.3053762271323346
2020-04-05,0.30836912502357244
2020-04-06,0.3095403749979955
2020-04-07,0.31038880266200736
2020-04-08,0.312908922511469
2020-04-09,0.3192703337581285
2020-04-10,0.30937316435697937
2020-04-11,0.3103370612678039
2020-04-12,0.3063989018487852
2020-04-13,0.29163189758827296
2020-04-14,0.2945949983630953
2020-04-15,0.2956020838775612
2020-04-16,0.29294065125050756
2020-04-17,0.3052128656981978
2020-04-18,0.3075817012367629
2020-04-19,0.3173484601073278
2020-04-20,0.33788004382453807
2020-04-21,0.3409055546103967
2020-04-22,0.34508475168716385
2020-04-23,0.34953521184458974
2020-04-24,0.354561276040548
2020-04-25,0.36117771558387785
2020-04-26,0.36568302824490456
2020-04-27,0.36895491999738966
2020-04-28,0.36958157558654453
2020-04-29,0.3706472434718878
2020-04-30,0.372268223592728
2020-05-01,0.3744898160129474
2020-05-02,0.3779201629036545
2020-05-03,0.3802682476631814
2020-05-04,0.3832100649517966
2020-05-05,0.38907118850677813
2020-05-06,0.3956371147725478
2020-05-07,0.40485464522199793
2020-05-08,0.3949601107211625
2020-05-09,0.3960848708619175
2020-05-10,0.3973984044925996
2020-05-11,0.40128892649396564
2020-05-12,0.406395550865998
2020-05-13,0.41460815947438656
2020-05-14,0.42095961118228625
2020-05-15,0.4460967021141616
2020-05-16,0.465790890683463
2020-05-17,0.48796051372524507
2020-05-18,0.49996813258729034
2020-05-19,0.5124237759659191
2020-05-20,0.5229196073174462
2020-05-21,0.5298486744873399
2020-05-22,0.536455061589467
2020-05-23,0.5405761627161707
2020-05-24,0.5475760810901222
2020-05-25,0.5439442717209233
2020-05-26,0.5507774049599644
2020-05-27,0.555184617773803
2020-05-28,0.5623133092097337
2020-05-29,0.5712402880017464
2020-05-30,0.5869253875799384
2020-05-31,0.6036901519822301
2020-06-01,0.6242584126187974
2020-06-02,0.6330852690126978
2020-06-03,0.6327816409012493
2020-06-04,0.6332087107416108
2020-06-05,0.6329739880025216
2020-06-06,0.6278607772393378
2020-06-07,0.6225269204841496
2020-06-08,0.6196878264651079
2020-06-09,0.6189777673253793
2020-06-10,0.6226422166917362
2020-06-11,0.6249469589232389
2020-06-12,0.6276954908811366
2020-06-13,0.6419962738264654
2020-06-14,0.6567377363850088
2020-06-15,0.66626490016722
2020-06-16,0.6706755259454577
2020-06-17,0.6791090463690199
2020-06-18,0.6842440190927955
2020-06-19,0.693966748684767
2020-06-20,0.7086620502201545
2020-06-21,0.7195221838539997
2020-06-22,0.7235945419776973
2020-06-23,0.7322095681413321
2020-06-24,0.7448391931584826
2020-06-25,0.7606888030211947
2020-06-26,0.7662017670693281
2020-06-27,0.7555793052618869
2020-06-28,0.7487156874756987
2020-06-29,0.7480846411531049
2020-06-30,0.7468395920389107
2020-07-01,0.7427868934569296
2020-07-02,0.7389505102043152
2020-07-03,0.740022933460794
2020-07-04,0.7487756642333434
2020-07-05,0.7592279153234384
2020-07-06,0.7692580149482262
2020-07-07,0.773629051657819
2020-07-08,0.7765973304808143
2020-07-09,0.7802527206210943
2020-07-10,0.7912548357629738
2020-07-11,0.8036866244598093
2020-07-12,0.8195193779848889
2020-07-13,0.8215328636955671
2020-07-14,0.826460377210391
2020-07-15,0.8320311244634923
2020-07-16,0.8394188383553345
2020-07-17,0.844618181598814
2020-07-18,0.8456580590907689
2020-07-19,0.8454482497829038
2020-07-20,0.85161570004657
2020-07-21,0.8569941036745623
2020-07-22,0.8609362296635616
2020-07-23,0.8604941832487933
2020-07-24,0.8623984502080819
2020-07-25,0.860612579109952
2020-07-26,0.8629527876854617
2020-07-27,0.855724087708701
2020-07-28,0.8546424817210854
2020-07-29,0.8571790750942304
2020-07-30,0.8641798240180493
2020-07-31,0.8697064037859719
2020-08-01,0.87961529909642
2020-08-02,0.88404939078419
2020-08-03,0.8954430142086799
2020-08-04,0.8968076476985818
2020-08-05,0.897247412052961
2020-08-06,0.8970150341600986
2020-08-07,0.8938761453721832
2020-08-08,0.8963333470795762
2020-08-09,0.899193741884797
2020-08-10,0.9020367572330367
2020-08-11,0.9061738244351799
2020-08-12,0.9097634501187778
2020-08-13,0.9090486519331283
2020-08-14,0.9092000478381734
2020-08-15,0.9052407777543285
2020-08-16,0.8961101939019586
2020-08-17,0.8939821690074837
2020-08-18,0.8943217210103628
2020-08-19,0.8903278664441101
2020-08-20,0.8965534995549805
2020-08-21,0.8955941929211452
2020-08-22,0.896889517460918
2020-08-23,0.9028768621917251
2020-08-24,0.9082211756741755
2020-08-25,0.9019709540365788
2020-08-26,0.9112299332397649
2020-08-27,0.9078194724763309
2020-08-28,0.9118754989620624
2020-08-29,0.9145255119934619
2020-08-30,0.9181219677249194
2020-08-31,0.9100946743771358
2020-09-01,0.9234547873294586
2020-09-02,0.9186062404613251
2020-09-03,0.9191809161987761
2020-09-04,0.9211935741340714
2020-09-05,0.9228555407058023
2020-09-06,0.9211025233262198
2020-09-07,0.9271148750081811
2020-09-08,0.923082694192357
2020-09-09,0.9265546805119476
2020-09-10,0.9286829888452542
2020-09-11,0.9297269702531256
2020-09-12,0.9278012039567614
2020-09-13,0.9310832240030181
2020-09-14,0.935277989034406
2020-09-15,0.9358299507636685
2020-09-16,0.9352239495359997
2020-09-17,0.9369969714231999
2020-09-18,0.9385499772021334
2020-09-19,0.939943034741184
2020-09-20,0.9384636877072061
2020-09-21,0.9368837349686725
